1,2,3,4,5,6,7,8,9,10,11,12,15,16,18,20,24
0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,13,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,13,14,0,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15
17,16,16,16,17,0,17,17,17,17,17,17,17,17,17,17,17
6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6
6,5,6,4,6,5,6,0,6,6,6,6,6,6,6,6,6
5,5,4,5,5,4,5,5,0,5,5,5,5,5,5,5,5
3,3,3,3,2,3,3,3,3,0,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
3,3,2,2,3,1,3,2,2,3,3,0,3,3,3,3,3
1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
